truth,pred,message
1,0,"Enfin, Jésus marque sa soumission volontaire à son Père par Jean 8.29 « moi, je fais toujours ce qu’il agrée. » et Philippiens 2.8 « Il s’est abaissé lui–même en devenant obéissant jusqu’à la mort — la mort sur la croix. »"
1,0,"Non, car cela est inutile et même contraire à leur but."
1,0,"En termes d’expiation, un étudiant en théologie devrait non seulement comprendre la distinction entre efficacité et suffisance, mais il devrait idéalement connaître la différence entre « acceptatio » et « acceptilatio » et la différence entre les moyens « d’approvisionnement » (medium impetrationis) et les moyens d’application (medium applicationis)."
1,0,"> dans l’évangile de S. Luc (3, 23) la généalogie du Seigneur remonte jusqu’à > Adam."
1,0,"• Robert Godfrey, ‹ General Revelation ›, Tabletalk, Vol. 40, N° 1 : <https://www.ligonier.org/learn/articles/general-revelation/>   • Keith Mathison, ‹ The Reformed Doctrine of General Revelation – What it Is and What it Isn’t › : <https://www.ligonier.org/blog/reformed-doctrine- general-revelation-what-it-and-what-it-isnt/>"
1,0,"Outre la méthode des _loci_ , les scolastiques réformés ont également utilisé la _disputatio_ (note : « controverse », ou « débat public »). Mais même les controverses étaient souvent organisées comme les _loci_. Les étudiants débattaient de théologie selon un ensemble de thèses, souvent organisées par le professeur pour qu’un étudiant se défende contre les attaques de ses adversaires. Des questions de type aristotélicien sont fréquemment utilisées pour ordonner la _disputatio_ (la technique de la _quaestio_ ). Ce sont donc ces types de questions qui structuraient les différents débats théologiques :"
1,0,"Comment suis je tombé amoureux de ma femme? En la voyant -pour simplifier-. Cette vision sensible (=qui vient des sens) a déclenché un appétit sensitif (=qui concerne les sens). En langage ordinaire: ma langue est tombée par terre, mon cou s’est raidi en mode « tournesol » ou « je-la-suis-tout-le- temps-du-regard » etc… _[Oui j’étais bizarre. Il y a d’ailleurs deux mystères insondables qui résistent à ma compréhension: la Sainte Trinité, et comment ma femme a pu m’épouser]_"
1,0,"  1. [L'éthique chrétienne de la sexualité et de la procréation #3 : les données bibliques – Par la foi](https://parlafoi.fr/2020/12/30/lethique-chretienne-de-la-sexualite-et-de-la-procreation-3-les-donnees-bibliques/) \- […] Pour une vulgarisation du langage causal aristotélicien, voir cet article.[↩] […]"
1,0,"« De ceux qui lui sont unis en acte par la charité » : les croyants matures, dans cette vie."
1,0,Et ainsi meurt la gnose et le scientisme. _–Pourquoi faire la distinction d’ailleurs ?-_
1,0,"Retenons ceci: John Frame, à mon avis, a été lourdement discrédité dans cette controverse, particulièrement par son insistance à critiquer la tradition historique de l’église. Le pire de ses arguments reste encore celui où il a critiqué James Dolezal pour sa remise en cause du consensus d’une douzaine de théologiens contemporains… alors que cette douzaine est en contradiction avec toute l’histoire de l’église, de Clément d’Alexandrie à Turretin! Quand un homme qui se considérait comme un bastion de l’orthodoxie et du conservatisme biblique est trouvé en défaut de cette même orthodoxie, surpris avec des arguments de progressistes…"
1,0,"De deux, nous pouvons recevoir des images qui contiennent des informations supplémentaires inaccessibles à la raison naturelle, comme par exemple lors du baptême de Jésus où une colombe descend du ciel et une voix se fait entendre."
